               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.059007,            0.012552,           0.0054594,             0.35526,                 0.7,              0.4852,             0.16006,            0.064999,            0.017632,            0.022272,           0.0071125,           0.0071125,           0.0071125
                  37,            0.056111,            0.014512,           0.0054343,             0.34321,                0.65,             0.54816,             0.25355,            0.060698,            0.017755,            0.022986,             0.00703,             0.00703,             0.00703
                  38,            0.051981,            0.013661,           0.0050674,             0.39778,             0.62903,             0.49122,             0.21512,            0.063029,            0.017919,            0.025629,           0.0069475,           0.0069475,           0.0069475
                  39,            0.046269,            0.014903,            0.004637,             0.40894,                 0.7,             0.52245,             0.23875,            0.064516,            0.017916,             0.02623,            0.006865,            0.006865,            0.006865
                  40,            0.052351,            0.013225,           0.0042643,             0.61362,             0.62527,             0.62825,             0.26232,            0.057363,             0.01799,            0.026715,           0.0067825,           0.0067825,           0.0067825
                  41,            0.051648,            0.013598,           0.0043969,             0.37982,                 0.7,             0.47819,             0.18143,            0.067198,            0.018216,            0.026974,              0.0067,              0.0067,              0.0067
                  42,             0.05155,            0.011976,           0.0043995,             0.56804,             0.68973,             0.64532,              0.3929,            0.060078,            0.017058,            0.026389,           0.0066175,           0.0066175,           0.0066175
                  43,            0.046906,            0.013786,           0.0044864,             0.53368,             0.67392,             0.64446,             0.27148,             0.06261,             0.01735,            0.025919,            0.006535,            0.006535,            0.006535
                  44,            0.053858,            0.012774,           0.0045502,             0.46181,                 0.7,             0.61645,             0.27283,            0.061653,            0.017297,            0.025439,           0.0064525,           0.0064525,           0.0064525
                  45,            0.045297,            0.012106,           0.0045197,             0.65511,                 0.7,             0.58262,             0.27278,            0.059712,            0.017105,            0.025595,             0.00637,             0.00637,             0.00637
                  46,            0.046671,            0.012926,           0.0043027,             0.58124,                0.65,             0.60517,             0.29787,            0.065495,             0.01697,            0.025992,           0.0062875,           0.0062875,           0.0062875
                  47,            0.040704,            0.011853,           0.0044039,             0.46431,                 0.7,             0.61143,             0.26624,            0.065664,             0.01817,            0.025946,            0.006205,            0.006205,            0.006205
                  48,            0.043909,            0.011762,           0.0043402,              0.5605,                 0.7,             0.61001,             0.28603,            0.056645,            0.018074,            0.025583,           0.0061225,           0.0061225,           0.0061225
                  49,            0.043822,            0.012378,           0.0044131,             0.80633,             0.59754,             0.61195,             0.24897,            0.067203,            0.019021,            0.025757,             0.00604,             0.00604,             0.00604
                  50,            0.043645,             0.01193,           0.0038339,             0.59888,                 0.7,             0.62467,             0.30352,            0.056808,             0.01853,            0.025781,           0.0059575,           0.0059575,           0.0059575
                  51,            0.041792,            0.011449,            0.003886,             0.69264,                 0.7,             0.59859,              0.3058,            0.058028,             0.01901,            0.025479,            0.005875,            0.005875,            0.005875
                  52,             0.04378,            0.012552,           0.0041068,             0.61239,                 0.7,             0.58952,             0.25133,            0.066958,            0.019236,            0.025354,           0.0057925,           0.0057925,           0.0057925
                  53,            0.043463,            0.010938,           0.0040174,             0.61029,                 0.7,             0.53552,             0.32392,            0.056799,            0.018986,            0.025333,             0.00571,             0.00571,             0.00571
                  54,            0.042312,            0.011738,           0.0035541,             0.62437,             0.58106,             0.55723,             0.23368,            0.065072,            0.019007,            0.025308,           0.0056275,           0.0056275,           0.0056275
                  55,             0.03683,            0.010949,           0.0037535,             0.55524,             0.60445,             0.43664,             0.22695,            0.062187,            0.019202,            0.025473,            0.005545,            0.005545,            0.005545
                  56,            0.043496,            0.010967,           0.0032344,             0.64438,             0.66191,             0.57814,              0.2502,            0.065199,            0.018973,            0.025327,           0.0054625,           0.0054625,           0.0054625
                  57,            0.042234,            0.010362,           0.0032831,             0.69324,             0.69724,             0.57816,             0.31206,            0.058883,            0.019175,            0.025674,             0.00538,             0.00538,             0.00538
                  58,            0.040656,            0.011337,            0.003173,             0.50023,                 0.7,             0.40915,             0.22766,            0.064058,            0.019229,             0.02547,           0.0052975,           0.0052975,           0.0052975
                  59,            0.035952,            0.012242,           0.0031578,             0.74643,                 0.7,             0.59412,             0.29063,            0.064021,            0.019321,            0.025034,            0.005215,            0.005215,            0.005215
                  60,            0.040651,            0.010985,           0.0029297,              0.6975,             0.61667,             0.49291,             0.27627,            0.058641,            0.019133,            0.025162,           0.0051325,           0.0051325,           0.0051325
                  61,            0.039579,            0.011556,           0.0034308,             0.70106,                 0.7,             0.59417,             0.27255,            0.066989,            0.019292,            0.024854,             0.00505,             0.00505,             0.00505
                  62,            0.038796,            0.010974,           0.0032855,             0.74549,                 0.7,             0.59399,             0.31976,            0.056364,            0.019021,            0.024875,           0.0049675,           0.0049675,           0.0049675
                  63,            0.031198,            0.010251,           0.0032828,             0.73169,                 0.7,             0.59897,             0.28783,            0.064419,            0.019434,            0.024515,            0.004885,            0.004885,            0.004885
                  64,            0.039821,            0.010542,           0.0028398,              0.6331,                 0.7,              0.5866,             0.29227,            0.062191,            0.019247,            0.024377,           0.0048025,           0.0048025,           0.0048025
                  65,            0.036939,             0.01095,           0.0029811,             0.57511,                 0.7,             0.58899,             0.28483,            0.057962,            0.019231,            0.024258,             0.00472,             0.00472,             0.00472
                  66,             0.03859,            0.010834,           0.0028572,             0.68232,                 0.7,             0.60414,             0.31897,            0.062622,            0.019357,            0.024173,           0.0046375,           0.0046375,           0.0046375
                  67,            0.035123,            0.010092,           0.0028489,             0.62911,                 0.7,             0.60084,              0.3181,            0.058528,            0.019423,            0.024033,            0.004555,            0.004555,            0.004555
                  68,            0.035068,            0.010443,             0.00279,             0.66357,                 0.7,             0.60417,             0.38065,            0.061763,              0.0193,            0.024033,           0.0044725,           0.0044725,           0.0044725
                  69,            0.037251,            0.010721,           0.0027079,             0.63931,                 0.7,             0.60414,             0.30737,            0.060026,            0.019149,            0.023926,             0.00439,             0.00439,             0.00439
                  70,            0.034392,            0.010228,           0.0029508,             0.65863,                 0.7,             0.60409,              0.4018,            0.058068,            0.018913,            0.024072,           0.0043075,           0.0043075,           0.0043075
                  71,            0.031791,           0.0097682,            0.002602,             0.64951,                 0.7,             0.60097,             0.34526,            0.060941,            0.019125,            0.023831,            0.004225,            0.004225,            0.004225
                  72,            0.033529,            0.010408,           0.0028822,             0.64862,                 0.7,             0.59599,             0.35886,            0.053495,            0.018791,            0.023962,           0.0041425,           0.0041425,           0.0041425
                  73,            0.032718,           0.0098013,           0.0028575,              0.6307,                 0.7,             0.59605,             0.29866,            0.059944,            0.019021,            0.023511,             0.00406,             0.00406,             0.00406
                  74,            0.029888,            0.010247,           0.0028708,             0.65436,                 0.7,             0.58737,             0.38491,            0.051852,            0.018946,            0.023767,           0.0039775,           0.0039775,           0.0039775
                  75,            0.029083,           0.0095255,           0.0027147,             0.69166,                 0.7,             0.58953,             0.37489,             0.05395,            0.019047,            0.023724,            0.003895,            0.003895,            0.003895
                  76,            0.033083,           0.0094479,           0.0028774,             0.69487,                 0.7,             0.58225,             0.33899,            0.059443,            0.018933,            0.023654,           0.0038125,           0.0038125,           0.0038125
                  77,            0.030123,            0.010869,           0.0024789,             0.68177,               0.675,              0.5823,             0.36273,            0.053994,            0.018915,            0.023865,             0.00373,             0.00373,             0.00373
                  78,            0.029209,           0.0090064,           0.0023857,             0.70647,               0.675,             0.58308,             0.34946,            0.057701,            0.018976,            0.023587,           0.0036475,           0.0036475,           0.0036475
                  79,            0.025648,             0.01022,           0.0024767,             0.73041,                 0.7,             0.58704,             0.32573,            0.057596,            0.019342,            0.023734,            0.003565,            0.003565,            0.003565
                  80,            0.035004,            0.010388,           0.0023281,              0.7247,                 0.7,             0.59021,             0.31347,             0.05783,            0.019537,            0.023691,           0.0034825,           0.0034825,           0.0034825
                  81,            0.029914,           0.0091453,           0.0022838,             0.68113,                 0.7,             0.58541,              0.3343,            0.057987,            0.019158,            0.023535,              0.0034,              0.0034,              0.0034
